design       arm         slack   median    skew    power      area   beat    b/f  preCTS
----------------------------------------------------------------------------------------
cb_aes       default   -0.2755        -  0.6409  0.04268 2.525e+05      -      -       -
cb_aes       screen    -0.1478  -0.2304   0.618  0.04201 2.508e+05  10/12   12/0    0/12
cb_aes       agent     -0.1651  -0.2621  0.6584  0.04269 2.529e+05   6/11   11/1   10/11
cb_aes       full      -0.1618  -0.1987  0.7339  0.03904 2.469e+05   7/10   10/2    9/10

cb_picorv32  default   -0.2352        -  0.5596  0.03541 1.034e+05      -      -       -
cb_picorv32  screen     -0.166  -0.2643   0.557  0.03332  1.02e+05   2/12   12/0    0/12
cb_picorv32  agent     -0.1772  -0.2645  0.5774  0.03426 1.025e+05   1/11   11/1    9/11
cb_picorv32  full      -0.2878  -0.3723  0.5695  0.03472 1.029e+05   0/12   12/0   12/12

cb_sha256    default   -0.5778        -  0.5972  0.01608 1.254e+05      -      -       -
cb_sha256    screen    -0.6018  -0.6381  0.5992  0.01482  1.24e+05   0/12   12/0    0/12
cb_sha256    agent     -0.5471  -0.7001  0.5695   0.0157 1.368e+05   1/10   10/2    9/10
cb_sha256    full      -0.5342  -0.7125   0.615  0.02155 1.303e+05   1/12   12/0   11/12

cb_ethmac    default    0.1106        -  0.6348   0.1505 4.821e+05      -      -       -
cb_ethmac    screen     0.1396   0.0659   0.624   0.1322 4.677e+05   2/12   12/0    0/12
cb_ethmac    agent      0.3169   0.1337  0.6664   0.1837 5.124e+05   7/12   12/0   10/12
cb_ethmac    full       0.3703   0.2437   0.593   0.1319 4.674e+05   9/12   12/0   12/12

